iter	RMSE
0	93.11905356
1	88.1095315
2	83.51647912
3	79.65973024
4	76.0407944
5	72.69726754
6	69.99264457
7	67.13698371
8	64.76873553
9	62.67756535
10	60.7851958
11	58.99518664
12	57.49470065
13	55.82295157
14	54.4654329
15	53.19090753
16	52.10224705
17	51.15729809
18	49.98581443
19	49.0174468
20	48.33779836
21	47.53993558
22	46.79781787
23	46.12759092
24	45.30414991
25	44.74810945
26	44.17942121
27	43.49079541
28	42.96105274
29	42.47518041
30	42.14016042
31	41.71580221
32	41.33971177
33	40.82014782
34	40.50983692
35	40.13684387
36	39.73255278
37	39.25254043
38	39.00085271
39	38.71800523
40	38.22751319
41	37.88690503
42	37.53712329
43	37.27912058
44	36.99572233
45	36.76185371
46	36.49740556
47	36.29445604
48	36.11382885
49	35.9640761
50	35.72976661
51	35.54018594
52	35.32010511
53	35.0430041
54	34.93718277
55	34.74644511
56	34.57767584
57	34.39140317
58	34.21334886
59	34.0834931
60	33.88848941
61	33.65667812
62	33.51824762
63	33.34231926
64	33.19688119
65	33.07631066
66	32.89832722
67	32.75626654
68	32.61076426
69	32.49736193
70	32.33015457
71	32.17466261
72	32.06703207
73	31.9617721
74	31.79929157
75	31.67697345
76	31.55405916
77	31.47160908
78	31.3634717
79	31.28069819
80	31.11426169
81	31.00635176
82	30.89909521
83	30.81188112
84	30.71936269
85	30.5984058
86	30.49561004
87	30.41062814
88	30.33992206
89	30.23949455
90	30.16322635
91	30.0762948
92	29.98324226
93	29.90818038
94	29.8345731
95	29.68158589
96	29.59752043
97	29.47087697
98	29.3803578
99	29.30157189
