iter	Passed	Remaining
0	6	667
1	16	825
2	26	845
3	36	883
4	46	881
5	53	839
6	65	875
7	74	855
8	84	856
9	91	826
10	98	799
11	106	777
12	113	759
13	120	740
14	128	727
15	137	719
16	144	707
17	151	689
18	160	682
19	166	667
20	175	659
21	182	646
22	190	636
23	196	622
24	202	607
25	209	595
26	215	583
27	221	570
28	227	556
29	233	545
30	240	535
31	248	527
32	254	517
33	260	505
34	268	498
35	276	491
36	283	482
37	290	473
38	296	463
39	302	453
40	308	444
41	314	434
42	321	426
43	328	417
44	335	409
45	340	400
46	346	391
47	355	385
48	362	377
49	370	370
50	377	362
51	383	353
52	390	345
53	397	338
54	404	331
55	411	323
56	417	315
57	424	307
58	429	298
59	435	290
60	444	284
61	450	276
62	458	269
63	465	261
64	476	256
65	482	248
66	490	241
67	497	234
68	503	226
69	510	218
70	517	211
71	523	203
72	531	196
73	537	188
74	545	181
75	551	174
76	557	166
77	563	158
78	569	151
79	576	144
80	584	137
81	590	129
82	596	122
83	603	114
84	610	107
85	618	100
86	625	93
87	631	86
88	639	79
89	650	72
90	658	65
91	664	57
92	669	50
93	677	43
94	683	35
95	692	28
96	697	21
97	703	14
98	711	7
99	718	0
